trialnum,category,orderA,orderB,travel1,travel2
1,ANIMALS,14,13,10,30
2,BODY PARTS,23,22,10,30
3,OCCUPATIONS,3,1,10,30
4,HOBBIES,10,9,10,30
5,CLOTHING,5,8,10,30
6,FRUITS,18,20,10,30
7,OFFICE SUPPLIES,24,21,10,30
8,LIQUIDS,2,4,10,30
9,MUSICAL INSTRUMENTS,12,11,10,30
10,VEGETABLES,7,6,10,30
11,MEANS OF TRANSPORT,19,17,10,30
12,SPORTS,15,16,10,30
13,THINGS FOUND IN KITCHENS,13,14,30,10
14,TOOLS,22,23,30,10
15,HOME APPLIANCES,1,3,30,10
16,HOLIDAYS,9,10,30,10
17,MEDICAL CONDITIONS,8,5,30,10
18,NATURAL ENVIRONMENT,20,18,30,10
19,FURNITURE,21,24,30,10
20,NON-FOOD ITEMS FOUND IN SUPERMARKET,4,2,30,10
21,FLOWERS,11,12,30,10
22,ACCOMODATIONS,6,7,30,10
23,TECHNOLOGY GADGETS & DEVICES,17,19,30,10
24,TOYS,16,15,30,10
